Song:
	samples=10577664
	channels=2
	BPM=127.5258
	points=20660
Idx                 Time                Start Sample        End Sample          delta               rawBPM              BPM                 
10426               121.0456            10676224            10677247            0.4876175           123.0473            123.0473            
10433               121.1269            10683392            10684415            0.08126831          738.2952            92.2869             
10445               121.2662            10695680            10696703            0.1393204           430.6621            107.6655            
10466               121.51              10717184            10718207            0.2438126           246.0907            123.0453            
10484               121.719             10735616            10736639            0.2089767           287.1133            143.5566            
10526               122.2066            10778624            10779647            0.4876175           123.0473            123.0473            
10556               122.5549            10809344            10810367            0.3483047           172.2629            86.13147            
10564               122.6478            10817536            10818559            0.09288025          645.9931            80.74914            
10607               123.147             10861568            10862591            0.4992218           120.1871            120.1871            
10627               123.3792            10882048            10883071            0.2322006           258.3972            129.1986            
10686               124.0642            10942464            10943487            0.6849899           87.59253            175.1851            
10769               125.0278            11027456            11028479            0.9636307           62.26452            124.529             
10790               125.2717            11048960            11049983            0.2438049           246.0984            123.0492            
10851               125.9799            11111424            11112447            0.7082138           84.72018            169.4404            
10933               126.9319            11195392            11196415            0.9520187           63.02397            126.0479            
10953               127.1641            11215872            11216895            0.2322006           258.3972            129.1986            
11015               127.8839            11279360            11280383            0.7198181           83.35439            166.7088            
11095               128.8127            11361280            11362303            0.9287949           64.59984            129.1997            
11115               129.0449            11381760            11382783            0.232193            258.4057            129.2029            
11177               129.7647            11445248            11446271            0.7198181           83.35439            166.7088            
11258               130.7051            11528192            11529215            0.9404144           63.80166            127.6033            
11278               130.9373            11548672            11549695            0.232193            258.4057            129.2029            
11337               131.6223            11609088            11610111            0.6849976           87.59155            175.1831            
11417               132.5511            11691008            11692031            0.9288025           64.59931            129.1986            
11439               132.8065            11713536            11714559            0.2554169           234.9101            117.455             
11500               133.5147            11776000            11777023            0.7082062           84.72109            169.4422            
11581               134.4552            11858944            11859967            0.9404144           63.80166            127.6033            
11600               134.6757            11878400            11879423            0.2205811           272.0089            136.0044            
11639               135.1285            11918336            11919359            0.4527893           132.512             132.512             
11660               135.3723            11939840            11940863            0.2438049           246.0984            123.0492            
11682               135.6278            11962368            11963391            0.2554321           234.8961            117.448             
11740               136.3011            12021760            12022783            0.6733704           89.10401            178.208             
11818               137.2067            12101632            12102655            0.9055786           66.25598            132.512             
11902               138.1819            12187648            12188671            0.975235            61.52363            123.0473            
11923               138.4258            12209152            12210175            0.2438202           246.083             123.0415            
11984               139.134             12271616            12272639            0.7082062           84.72109            169.4422            
12065               140.0744            12354560            12355583            0.9403992           63.80269            127.6054            
12084               140.295             12374016            12375039            0.2205963           271.9901            135.995             
12146               141.0148            12437504            12438527            0.7198181           83.35439            166.7088            
12227               141.9552            12520448            12521471            0.9404144           63.80166            127.6033            
12248               142.199             12541952            12542975            0.2438049           246.0984            123.0492            
12309               142.9072            12604416            12605439            0.7082062           84.72109            169.4422            
12390               143.8476            12687360            12688383            0.9404144           63.80166            127.6033            
